annee_reference;competence;service_id;epci_normalise;code;valeur_num;valeur_texte;source_file;date_snapshot
2022;EP;251994;CAP_NORD;DC.192;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.077;260.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.140;0.78;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.141;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.224;93.58;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.225;81.89;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.226;83.72;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.227;85.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.228;54.45;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.229;2.39;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.231;121.9;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.232;1725900.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.234;4860971.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.062;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.126;52.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.127;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.128;52.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.129;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.175;33788.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.212;80.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.235;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.236;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.237;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.238;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.239;91.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.240;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.241;92.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.242;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.243;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.244;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.245;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.246;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.247;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.248;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.249;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.263;15.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.264;43.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;251994;CAP_NORD;VP.268;424531.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;D101.0;152276.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;D102.0;2.75;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;D151.0;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P101.1;98.2;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P102.1;99.6;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P103.2B;95.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P104.3;64.5;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P105.3;31.9;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P106.3;31.9;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P107.2;0.19;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P108.3;60.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P109.0;0.0981;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P151.1;4.91;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P152.1;100.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P153.2;9.3;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P154.0;14.07;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;P155.1;33.63;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.056;76122.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.178;272.4;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.191;68.6;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.179;57.06;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.213;2.1;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.215;0.12;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.216;0.26;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.219;0.039;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;DC.184;26947826.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.183;2763000.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.182;25616000.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.119;980000.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.020;374.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.152;2560.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.059;15658799.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.060;6027970.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.061;0.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.193;60.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.063;9992658.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.077;1004.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.224;27.27;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.225;63.06;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.226;70.45;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.227;75.45;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.228;75.82;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.229;2.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.231;131.27;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.232;9992658.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.234;21686769.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.062;15869402.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.126;283.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.127;5.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.128;283.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.129;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.175;152276.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.212;60.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.236;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.237;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.238;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.239;100.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.240;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.241;100.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.242;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;196862;CACEM;VP.243;1.0;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
