code_prelevement;code_commune;code_reseau;date_prelevement;bact;pc
97200106354;97209;;2023-10-11T09:10:00Z;C;C
97200106351;97212;;2023-10-10T11:40:00Z;C;C
97200106482;97212;;2023-10-10T11:25:00Z;;C
97200106340;97233;;2023-10-10T11:00:00Z;C;C
97200106350;97212;;2023-10-10T10:45:00Z;C;C
97200106338;97205;;2023-10-10T10:00:00Z;C;C
97200106344;97224;;2023-10-10T09:35:00Z;C;C
97200106343;97228;;2023-10-09T13:15:00Z;C;C
97200106356;97209;;2023-10-09T13:10:00Z;C;C
97200106339;97211;;2023-10-09T12:30:00Z;C;C
97200106361;97209;;2023-10-09T11:45:00Z;C;C
97200106869;97214;;2023-10-09T11:25:00Z;C;C
97200106345;97209;;2023-10-09T10:45:00Z;C;C
97200106341;97215;;2023-10-09T10:30:00Z;C;C
97200106359;97232;;2023-09-21T11:00:00Z;C;C
97200106360;97210;;2023-09-21T10:15:00Z;C;C
97200106965;97214;;2023-09-21T09:30:00Z;C;C
97200106373;97218;;2023-09-20T11:55:00Z;C;C
97200106379;97225;;2023-09-20T11:15:00Z;C;C
97200106374;97233;;2023-09-20T10:30:00Z;C;C
97200106369;97229;;2023-09-20T09:30:00Z;C;C
97200106357;97217;;2023-09-19T12:40:00Z;C;C
97200106358;97217;;2023-09-19T12:30:00Z;C;C
97200106481;97212;;2023-09-19T11:50:00Z;;C
97200106372;97212;;2023-09-19T10:55:00Z;C;C
97200106380;97224;;2023-09-19T10:30:00Z;C;C
97200106381;97224;;2023-09-19T09:45:00Z;C;C
97200106371;97224;;2023-09-19T09:15:00Z;C;C
97200106382;97214;;2023-09-18T10:22:00Z;C;C
97200106585;97234;;2023-09-14T10:42:00Z;C;C
97200106457;97212;;2023-09-13T11:30:00Z;;C
97200106376;97226;;2023-09-13T10:45:00Z;C;C
97200106408;97212;;2023-09-13T10:40:00Z;C;C
97200106456;97222;;2023-09-13T10:00:00Z;;C
97200106375;97217;;2023-09-13T09:05:00Z;N;C
97200106964;97227;;2023-09-13T08:45:00Z;C;C
97200106409;97201;;2023-09-11T10:35:00Z;C;C
97200106873;97214;;2023-09-11T09:35:00Z;C;C
97200106412;97219;;2023-09-07T13:00:00Z;C;C
97200106410;97232;;2023-09-07T11:50:00Z;C;C
97200106413;97233;;2023-09-07T11:45:00Z;C;C
97200106411;97210;;2023-09-07T11:17:00Z;C;C
97200106420;97229;;2023-09-07T10:45:00Z;C;C
97200106491;97209;;2023-09-05T13:10:00Z;C;C
97200106490;97209;;2023-09-05T11:45:00Z;C;C
97200106447;97209;;2023-09-05T11:30:00Z;C;C
97200106453;97212;;2023-09-05T11:00:00Z;;C
97200106454;97212;;2023-09-05T10:30:00Z;C;C
97200106452;97224;;2023-09-05T10:00:00Z;C;C
97200106451;97226;;2023-09-05T09:30:00Z;C;C
97200106455;97224;;2023-09-05T09:30:00Z;C;C
97200106450;97220;;2023-09-05T09:00:00Z;C;C
97200107391;97213;;2023-09-04T12:15:00Z;C;C
97200106443;97228;;2023-09-04T11:30:00Z;C;C
97200106445;97201;;2023-09-04T11:30:00Z;C;C
97200107401;97218;;2023-09-04T11:20:00Z;C;C
97200106446;97201;;2023-09-04T11:00:00Z;C;C
97200107392;97222;;2023-09-04T10:30:00Z;C;C
97200106444;97211;;2023-09-04T10:05:00Z;C;C
97200107400;97225;;2023-09-04T09:55:00Z;C;C
97200107390;97213;;2023-09-04T09:33:00Z;C;C
97200107402;97233;;2023-09-04T08:55:00Z;C;C
97200107397;97210;;2023-08-31T10:35:00Z;C;C
97200107398;97213;;2023-08-31T10:00:00Z;C;C
97200107395;97209;;2023-08-30T11:25:00Z;C;C
97200107394;97209;;2023-08-30T11:00:00Z;C;C
97200107393;97209;;2023-08-30T10:35:00Z;C;C
97200107396;97209;;2023-08-30T09:50:00Z;C;C
97200107389;97231;;2023-08-30T09:50:00Z;C;C
97200107388;97201;;2023-08-29T12:55:00Z;N;C
97200107387;97225;;2023-08-29T11:45:00Z;C;C
97200107382;97212;;2023-08-29T11:40:00Z;;C
97200107384;97222;;2023-08-29T11:40:00Z;C;C
97200107383;97212;;2023-08-29T10:35:00Z;C;C
97200107386;97234;;2023-08-29T10:15:00Z;C;C
97200107385;97210;;2023-08-29T09:30:00Z;C;C
97200107381;97228;;2023-08-28T12:50:00Z;C;C
97200107380;97203;;2023-08-28T11:55:00Z;C;C
97200107379;97211;;2023-08-28T10:50:00Z;C;C
97200107377;97202;;2023-08-24T11:45:00Z;C;C
97200107378;97202;;2023-08-24T10:45:00Z;C;C
97200107376;97206;;2023-08-24T10:00:00Z;C;C
97200106524;97222;;2023-08-23T12:50:00Z;C;C
97200106525;97228;;2023-08-23T11:55:00Z;C;C
97200106535;97209;;2023-08-23T10:05:00Z;C;C
97200106537;97209;;2023-08-23T09:30:00Z;C;C
97200106527;97229;;2023-08-23T09:05:00Z;C;C
97200106536;97209;;2023-08-23T08:45:00Z;C;C
97200106517;97212;;2023-08-22T11:15:00Z;;C
97200106518;97212;;2023-08-22T10:45:00Z;C;C
97200106519;97209;;2023-08-22T10:40:00Z;C;C
97200106751;97224;;2023-08-22T10:15:00Z;C;C
97200107399;97213;;2023-08-21T13:02:00Z;C;C
97200106515;97213;;2023-08-21T12:20:00Z;C;C
97200106513;97203;;2023-08-21T12:15:00Z;C;C
97200106516;97222;;2023-08-21T11:53:00Z;C;C
97200106514;97214;;2023-08-21T11:30:00Z;C;C
97200106507;97233;;2023-08-17T11:25:00Z;C;C
97200106511;97214;;2023-08-17T11:20:00Z;C;C
97200106509;97209;;2023-08-17T11:00:00Z;C;C
97200106523;97234;;2023-08-17T10:45:00Z;C;C
97200106510;97209;;2023-08-17T10:30:00Z;C;C
97200106512;97228;;2023-08-17T09:35:00Z;C;C
97200106534;97229;;2023-08-17T09:30:00Z;C;C
97200106508;97224;;2023-08-16T12:50:00Z;C;C
97200106505;97212;;2023-08-16T12:15:00Z;C;C
97200106504;97212;;2023-08-16T11:35:00Z;;C
97200106506;97212;;2023-08-16T10:35:00Z;C;C
97200106877;97214;;2023-08-16T10:10:00Z;C;C
97200106008;97226;;2023-08-10T12:00:00Z;C;C
97200106002;97217;;2023-08-10T10:45:00Z;C;C
97200106503;97232;;2023-08-10T10:15:00Z;C;C
97200106502;97222;;2023-08-09T00:00:00Z;C;C
97200106004;97209;;2023-08-08T12:08:00Z;C;C
97200106003;97228;;2023-08-08T10:45:00Z;C;C
97200106498;97209;;2023-08-08T10:38:00Z;C;C
97200106499;97230;;2023-08-08T10:08:00Z;C;C
97200106526;97209;;2023-08-08T09:46:00Z;C;C
97200106533;97222;;2023-08-08T09:20:00Z;C;C
97200106501;97222;;2023-08-08T08:45:00Z;N;C
97200106007;97212;;2023-08-07T11:28:00Z;C;C
97200106005;97226;;2023-08-07T11:15:00Z;C;C
97200106495;97212;;2023-08-07T10:42:00Z;C;C
97200106494;97224;;2023-08-07T09:49:00Z;C;C
97200106497;97213;;2023-08-07T09:45:00Z;C;C
97200106496;97224;;2023-08-07T09:20:00Z;C;C
97200106500;97222;;2023-08-07T09:00:00Z;C;C
97200106493;97207;;2023-08-03T11:10:00Z;C;C
97200106530;97214;;2023-08-03T10:30:00Z;C;C
97200106531;97213;;2023-08-03T09:00:00Z;C;C
97200106529;97220;;2023-08-02T11:55:00Z;C;C
97200106488;97209;;2023-08-02T11:30:00Z;C;C
97200106074;97222;;2023-08-02T11:30:00Z;C;C
97200106492;97220;;2023-08-02T11:19:00Z;C;C
97200106532;97222;;2023-08-02T10:50:00Z;C;C
97200106528;97221;;2023-08-02T10:40:00Z;C;C
97200106085;97229;;2023-08-02T10:08:00Z;C;C
97200106439;97214;;2023-08-01T10:45:00Z;C;C
97200106487;97209;;2023-08-01T10:30:00Z;C;C
97200106438;97217;;2023-08-01T09:45:00Z;C;C
97200106486;97229;;2023-08-01T09:35:00Z;C;C
97200106081;97228;;2023-07-31T12:20:00Z;C;C
97200106086;97212;;2023-07-31T11:55:00Z;;C
97200106437;97228;;2023-07-31T11:30:00Z;C;C
97200106441;97224;;2023-07-31T11:15:00Z;C;C
97200106088;97209;;2023-07-31T11:15:00Z;C;C
97200106082;97209;;2023-07-31T10:44:00Z;C;C
97200106448;97224;;2023-07-31T10:25:00Z;C;C
97200106449;97209;;2023-07-31T09:58:00Z;C;C
97200106442;97222;;2023-07-31T09:30:00Z;C;C
97200106076;97210;;2023-07-27T10:26:00Z;C;C
97200106075;97228;;2023-07-26T09:55:00Z;C;C
97200106876;97222;;2023-07-25T11:00:00Z;C;C
97200106434;97222;;2023-07-25T10:30:00Z;C;C
97200107120;97212;;2023-07-25T10:30:00Z;C;C
97200106485;97209;;2023-07-25T10:20:00Z;C;C
97200106436;97212;;2023-07-25T10:00:00Z;C;C
97200106435;97212;;2023-07-25T09:23:00Z;;N
97200106432;97234;;2023-07-19T09:30:00Z;C;C
97200106431;97209;;2023-07-18T11:30:00Z;C;C
97200106440;97209;;2023-07-18T10:35:00Z;C;C
97200106765;97214;;2023-07-17T11:35:00Z;C;C
97200106429;97212;;2023-07-17T10:48:00Z;;C
97200106425;97224;;2023-07-17T10:40:00Z;C;C
97200106426;97228;;2023-07-17T10:40:00Z;C;C
97200106430;97212;;2023-07-17T10:20:00Z;C;C
97200106427;97228;;2023-07-17T09:57:00Z;C;C
97200106428;97222;;2023-07-17T09:51:00Z;;N
97200105846;97228;;2023-07-10T10:35:00Z;C;C
97200105842;97212;;2023-07-10T10:30:00Z;;C
97200105844;97212;;2023-07-10T09:50:00Z;C;C
97200105849;97222;;2023-07-10T09:47:00Z;C;C
97200105978;97222;;2023-07-06T10:00:00Z;;C
97200105977;97228;;2023-07-05T12:05:00Z;C;C
97200106423;97214;;2023-07-05T09:45:00Z;C;C
97200106424;97228;;2023-07-05T08:50:00Z;C;C
97200106480;97212;;2023-07-03T12:15:00Z;;C
97200106422;97212;;2023-07-03T11:55:00Z;C;C
97200106479;97209;;2023-07-03T11:25:00Z;C;C
97200106478;97209;;2023-07-03T10:45:00Z;C;C
97200106433;97224;;2023-07-03T10:20:00Z;C;C
97200106583;97232;;2023-06-29T10:40:00Z;C;C
97200106582;97231;;2023-06-29T09:57:00Z;C;C
97200106477;97209;;2023-06-28T12:30:00Z;N;C
97200106474;97218;;2023-06-28T11:25:00Z;C;C
97200106489;97209;;2023-06-28T11:15:00Z;C;C
97200106475;97205;;2023-06-28T10:20:00Z;C;C
97200106581;97212;;2023-06-27T12:30:00Z;C;C
97200106473;97212;;2023-06-27T11:15:00Z;;C
97200106580;97212;;2023-06-27T10:30:00Z;C;C
97200106472;97224;;2023-06-26T13:00:00Z;C;C
97200106470;97222;;2023-06-26T11:59:00Z;C;C
97200106471;97224;;2023-06-26T11:15:00Z;C;C
97200106925;97224;;2023-06-26T10:50:00Z;C;C
97200106468;97228;;2023-06-26T10:05:00Z;C;C
97200106963;97213;;2023-06-26T10:05:00Z;C;C
97200106469;97213;;2023-06-26T08:56:00Z;C;C
97200106467;97214;;2023-06-21T11:55:00Z;C;C
97200105976;97210;;2023-06-21T11:10:00Z;C;C
97200106016;97201;;2023-06-20T13:15:00Z;C;C
97200105987;97234;;2023-06-20T12:45:00Z;N;C
97200106923;97211;;2023-06-20T12:20:00Z;C;C
97200106764;97229;;2023-06-20T12:19:00Z;C;C
97200107312;97225;;2023-06-20T11:30:00Z;C;C
97200106924;97214;;2023-06-20T11:10:00Z;C;C
97200105986;97209;;2023-06-20T09:40:00Z;C;C
97200106026;97222;;2023-06-19T13:15:00Z;C;C
97200106024;97228;;2023-06-19T12:40:00Z;C;C
97200106012;97212;;2023-06-19T12:30:00Z;;C
97200106757;97213;;2023-06-19T12:15:00Z;C;C
97200106011;97226;;2023-06-19T11:55:00Z;N;C
97200106027;97228;;2023-06-19T11:45:00Z;C;C
97200106013;97222;;2023-06-19T11:25:00Z;;C
97200106763;97217;;2023-06-19T11:24:00Z;C;C
97200106010;97212;;2023-06-19T11:20:00Z;C;C
