annee_reference;domain;indicator_id;territoire;perimeter_id;value;unit;source_family;authority;source_file;source_page;record_role;quality_status;coverage_status;definition;note
2023;ASSAINISSEMENT_COLLECTIF;AC_POSTES_REFOULEMENT;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;62.0;ouvrages;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;8;PRODUCTION;OK;COMPLETE;;Sous-périmètre de CAP Nord.
2023;ASSAINISSEMENT_COLLECTIF;AC_VOLUME_TRAITE;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;834627.0;m³/an;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;8;PRODUCTION;OK;COMPLETE;;Sous-périmètre de CAP Nord.
2023;ASSAINISSEMENT_COLLECTIF;AC_BOUES_TMS;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;106.259;tMS/an;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;8;PRODUCTION;OK;COMPLETE;;Sous-périmètre de CAP Nord.
2023;ASSAINISSEMENT_COLLECTIF;AC_RESEAU_KM;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;102.502;km;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;8;PRODUCTION;OK;COMPLETE;;Sous-périmètre de CAP Nord.
2023;ASSAINISSEMENT_COLLECTIF;AC_ABONNES;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;6774.0;abonnés;EX_SICSM_AC;SME / CAESM + Robert-Trinite;RAD_Assainissement_Ex-SICSM_2023.pdf;8;PRODUCTION;OK;COMPLETE;;Sous-périmètre de CAP Nord.
2023;ANC;ANC_CONTROLE_CONCEPTION;CAESM;CAESM_EPCI;494;contrôles/an;CAESM_SPANC;CAESM;RPQS SPANC 2023.pdf;4;PRODUCTION;OK;COMPLETE;;443 PC + 51 réhabilitations.
2023;ANC;ANC_CONTROLE_EXECUTION;CAESM;CAESM_EPCI;61;contrôles/an;CAESM_SPANC;CAESM;RPQS SPANC 2023.pdf;4;PRODUCTION;OK;COMPLETE;;
2023;ANC;ANC_CONTROLE_EXISTANT;CAESM;CAESM_EPCI;250;contrôles/an;CAESM_SPANC;CAESM;RPQS SPANC 2023.pdf;4;PRODUCTION;OK;COMPLETE;;216 ventes + 34 ponctuels/nuisances.
2023;ANC;ANC_CONTROLES_TOTAL;CAESM;CAESM_EPCI;805;contrôles/an;CAESM_SPANC;CAESM;RPQS SPANC 2023.pdf;4;PRODUCTION;OK;COMPLETE;;
2023;ANC;D301.0_LOCAL;CAESM;CAESM_EPCI;73440;habitants;CAESM_SPANC;CAESM;RPQS SPANC 2023.pdf;5;PRODUCTION;OK;COMPLETE;;Calcul local : (abonnés AEP - abonnés AC) × 1,9 personne/foyer.
2023;ANC;ANC_INSTALLATIONS_ESTIMEES;CAESM;CAESM_EPCI;38653;foyers/installations;CAESM_SPANC;CAESM;RPQS SPANC 2023.pdf;5;PRODUCTION;OK;COMPLETE;;
2023;ANC;P301.3;CAESM;CAESM_EPCI;;%;CAESM_SPANC;CAESM;RPQS SPANC 2023.pdf;2;DIAGNOSTIC;NOT_CALCULABLE;NOT_APPLICABLE;;D302.0 = 70 (<100), le RPQS indique que P301.3 ne doit pas être calculé.
2023;ASSAINISSEMENT_COLLECTIF;AC_RESEAU_KM;CAP_NORD;CAP_NORD_EPCI;254.88;km;CAPNORD_AC_RPQS;CAP Nord;RPQS Assainissement collectif 2023.pdf;6;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_BOUES_TMS;CAP_NORD;CAP_NORD_EPCI;353.0;tMS/an;CAPNORD_AC_RPQS;CAP Nord;RPQS Assainissement collectif 2023.pdf;11;PRODUCTION;OK;COMPLETE;;Somme Trinité-Robert + autres communes.
2023;ASSAINISSEMENT_COLLECTIF;AC_ABONNES;CAP_NORD;CAP_NORD_EPCI;17981;abonnés;CAPNORD_AC_RPQS;CAP Nord;RPQS Assainissement collectif 2023.pdf;12;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_POPULATION_DESSERVIE;CAP_NORD;CAP_NORD_EPCI;44409;habitants;CAPNORD_AC_RPQS;CAP Nord;RPQS Assainissement collectif 2023.pdf;11;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_VOLUME_ASSUJETTI;CAP_NORD;CAP_NORD_EPCI;1771215;m³/an;CAPNORD_AC_RPQS;CAP Nord;RPQS Assainissement collectif 2023.pdf;5;PRODUCTION;OK;COMPLETE;;"Volume assujetti à la redevance ; ne pas confondre avec volume traité."
2023;ANC;D301.0_LOCAL;CAP_NORD;CAP_NORD_EPCI;96187;habitants;CAPNORD_SPANC;CAP Nord;RPQS SPANC 2023(1).pdf;3;DIAGNOSTIC;METHODOLOGY_TO_REVIEW;COMPLETE;;La valeur correspond à une population INSEE ancienne du territoire et semble surestimer la population réellement en ANC.
2023;ANC;ANC_INSTALLATIONS_ESTIMEES;CAP_NORD;CAP_NORD_EPCI;30152;installations;CAPNORD_SPANC;CAP Nord;RPQS SPANC 2023(1).pdf;3;PRODUCTION;OK;COMPLETE;;
2023;ANC;P301.3_PUBLISHED;CAP_NORD;CAP_NORD_EPCI;28.0;%;CAPNORD_SPANC;CAP Nord;RPQS SPANC 2023(1).pdf;9;AUDIT;SOURCE_CALCULATION_ERROR;COMPLETE;;"Valeur publiée 2023 ; 4801/18322 = 26,20 %. Le RPQS 2024 corrige rétrospectivement 2023 à 26,20 %."
2023;ANC;P301.3;CAP_NORD;CAP_NORD_EPCI;26.203471236764546;%;CAPNORD_SPANC;CAP Nord;RPQS SPANC 2023(1).pdf;9;PRODUCTION;REVISED_BY_LATER_SOURCE;COMPLETE;;Valeur recalculée et confirmée par le RPQS 2024.
2023;ASSAINISSEMENT_COLLECTIF;AC_ABONNES;Martinique;Martinique;82085.0;abonnés;DERIVED;ODE;CALCUL_LOCAL;;PRODUCTION;OK;COMPLETE;;Somme des trois EPCI à partir des RAD/RPQS locaux.
2023;ASSAINISSEMENT_COLLECTIF;AC_RESEAU_KM;Martinique;Martinique;943.98;km;DERIVED;ODE;CALCUL_LOCAL;;PRODUCTION;OK;COMPLETE;;Somme des trois EPCI à partir des RAD/RPQS locaux.
2023;ASSAINISSEMENT_COLLECTIF;AC_BOUES_TMS;Martinique;Martinique;1745.6200000000001;tMS/an;DERIVED;ODE;CALCUL_LOCAL;;PRODUCTION;OK;COMPLETE;;Somme des trois EPCI à partir des RAD/RPQS locaux.
2023;EAU_POTABLE;EP_ABONNES;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;38372;abonnés;RAD;CAP Nord / SME;RAD_Eau_potable_CAP_NORD_2023.pdf;129;PRODUCTION;OK;COMPLETE;Abonnés du contrat CAP Nord incluant les secteurs Robert CN et Trinité CN.;Tableau détaillé par commune/secteur.
2023;EAU_POTABLE;EP_ABONNES;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;14266;abonnés;RAD;CAP Nord / SME;RAD_Eau_Potable_Ex-SICSM_2023.pdf;44;PRODUCTION;OK;COMPLETE;Abonnés des secteurs Robert-Trinité relevant du contrat Ex-SICSM.;
2023;EAU_POTABLE;EP_ABONNES;CAP_NORD;CAP_NORD_EPCI;52638;abonnés;RPQS;CAP Nord / SME;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=826773;7;PRODUCTION;OK;COMPLETE;Total EPCI = contrat CAP Nord + secteurs Robert-Trinité Ex-SICSM.;38372 + 14266 = 52638.
