year_reference;code_agglo;nom_agglo;commune_principale;code_insee_commune_principale;etat_agglo;taille_agglo_eh;tranche_obligation;maximum_pollutions_entrantes_eh;somme_capacites_nominales_eh;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_temps_sec;conformite_globale_agglo;date_mise_a_jour_agglo;type_reseau_majoritaire;source_file
2022;080000697218;MORNE-ROUGE-GRAND CHAZEAU (CAP21);Le Morne-Rouge;97218;En activité;25.0;"] 200 ; 2 000 [ EH";25.0;500.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000197233;MORNE-VERT-LA VIGIE;Le Morne-Vert;97233;En activité;375.0;"] 200 ; 2 000 [ EH";375.0;300.0;Oui;Non;N/A;Non;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000497220;RIVIERE-PILOTE-JOSSEAU;Rivière-Pilote;97220;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;225.0;Oui;Non;N/A;Non;2024-12-06;Unitaire;export-as-telechargement(2).csv
2022;080000197220;RIVIERE-PILOTE-MANIKOU;Rivière-Pilote;97220;En activité;385.0;"] 200 ; 2 000 [ EH";385.0;2250.0;Non;Non;N/A;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000397220;RIVIERE-PILOTE-MANIKOU_1;Rivière-Pilote;97220;En activité;114.0;"] 200 ; 2 000 [ EH";114.0;0.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000197221;Rivière-Salée;Rivière-Salée;97221;En activité;14124.0;"[ 10 000 ; 100 000 [ E";14124.0;7000.0;Non;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000597221;Rivière-Salée - BOIS TI-BAUME;Rivière-Salée;97221;En activité;0.0;Taille ≤ 200 EH;0.0;58.0;Non;Non;N/A;Non;2024-12-19;Unitaire;export-as-telechargement(2).csv
2022;080000497221;RIVIERE-SALEE-DESMARINIÈRE;Rivière-Salée;97221;En activité;26.0;Taille ≤ 200 EH;26.0;100.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000297221;RIVIERE-SALEE-FOND-MASSON;Rivière-Salée;97221;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;450.0;Oui;Non;N/A;Non;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000397221;RIVIERE-SALEE-KANEL;Rivière-Salée;97221;En activité;145.0;"] 200 ; 2 000 [ EH";145.0;200.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000697221;RIVIERE-SALEE-LES-DIGUES;Rivière-Salée;97221;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;320.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000297222;ROBERT-VERT-PRE;Le Robert;97222;En activité;1158.0;"[ 2 000 ; 10 000 [ EH";1158.0;3000.0;Oui;Oui;Oui;Oui;2024-12-17;Séparatif;export-as-telechargement(2).csv
