year_reference;code_steu;code_agglo;nom_agglo;nature_steu;epci_normalise;etat_steu;capacite_nominale_eh;capacite_nominale_kg_dbo5;percentile95_m3_j;charge_max_entree_eh;debit_entrant_m3_j;filiere_eau_principale;filiere_boues_principale;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_agglo;conformite_globale_agglo;conformite_equipement_steu;conformite_performance_steu;conformite_station_reconstituee;cause_non_conformite;production_boues_tms;code_systeme_collecte;nom_systeme_collecte;code_masse_eau;nom_masse_eau;nom_milieu_rejet;type_milieu_rejet;latitude_rejet_wgs84;longitude_rejet_wgs84;date_derniere_modification_source;date_mise_a_jour_agglo;source_file
2022;080000197229;080000197209;Fort-de-France - DILLON 1 ET 2;Urbain;CACEM;En service;30000.0;1800.0;5925.0;25164.0;4023.0;Biofiltre;Centrifugation;Non;Non;Oui;Non;Non;Oui;False;;309.26;080000197229;SC du STEU : POINTE DES NEGRES;FRJC015;Nord Baie de Fort-de-France;Rejet POINTE DES NEGRES;Eau côtière;14.5928293;-61.1024086;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080004097209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;500.0;30.0;0.0;44.0;0.0;Boue activée faible charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);0.66;S080004097209;SYSTEME DE COLLECTE - FORT-DE-FRANCE;FRJR116;Madame;REJET PRINCIPAL DE FORT-DE-FRANCE;Eau douce de surface;14.6351455;-61.0579858;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080004297209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;50.0;3.0;0.0;26.0;0.0;Boue activée moyenne charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission de l'autosurveillance (STEU);0.39;S080004297209;Systeme de collecte - FORT-DE-FRANCE-Résidence Laetitia;FRJR116;Madame;REJET PRINCIPAL DE FORT-DE-FRANCE-Résidence Laetit;Eau douce de surface;14.6297267;-61.0779975;2024-12-19;2024-12-06;export-as-telechargement(2).csv
2022;080003997209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;204.0;12.0;0.0;200.0;0.0;Boue activée aération prolongée (très faible charge);;Non;Non;Oui;Non;Non;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);0.0;S080003997209;Systeme de collecte - Les Cyclades-résidence;FRJG204;Domaine Centre;REJET PRINCIPAL DE Les Cyclades-résidence;Eau douce de surface;14.6199361;-61.0753819;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080004397209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;80.0;5.0;0.0;40.0;10.0;Boue activée forte charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission de l'autosurveillance (STEU);0.6;S080004397209;Systeme de collecte - FORT-DE-FRANCE-Residence les Goyaves;FRJR116;Madame;REJET PRINCIPAL DE FORT-DE-FRANCE-Residence les Go;Eau douce de surface;14.6133695;-61.077982;2024-12-19;2024-12-06;export-as-telechargement(2).csv
2022;080008597209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;120.0;7.0;0.0;30.0;8.0;Biofiltre;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission de l'autosurveillance (STEU);0.45;S080008597209;Systeme de collecte - FORT-DE-FRANCE-Résidence Mimosa;FRJR116;Madame;REJET PRINCIPAL DE FORT-DE-FRANCE-Résidence Mimosa;Eau douce de surface;14.6387922;-61.0705118;2024-12-19;2024-12-06;export-as-telechargement(2).csv
2022;080005597209;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;100.0;6.0;0.0;7.0;1.0;Biofiltre;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission de l'autosurveillance (STEU);0.1;S080005597209;Systeme de collecte - FORT-DE-FRANCE - RESIDENCE ZAMANAS;FRJR116;Madame;REJET PRINCIPAL DE FORT-DE-FRANCE - RESIDENCE ZAMA;Eau douce de surface;14.6407665;-61.0688424;2024-12-19;2024-12-06;export-as-telechargement(2).csv
2022;080001597213;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;350.0;21.0;0.0;12.0;0.0;Boue activée faible charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);0.18;S080001597213;Systeme de collecte - LAMENTIN;FRJC015;Nord Baie de Fort-de-France;REJET PRINCIPAL DE LAMENTIN;Eau douce de surface;14.6156547;-61.0163578;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080001797213;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;150.0;9.0;0.0;5.0;0.0;Boue activée moyenne charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission de l'autosurveillance (STEU);0.08;S080001797213;Systeme de collecte - LAMENTIN-Connexion;FRJC015;Nord Baie de Fort-de-France;REJET PRINCIPAL DE LAMENTIN-Connexion;Eau douce de surface;14.6169609;-61.0211812;2024-12-19;2024-12-06;export-as-telechargement(2).csv
2022;080001997213;080000197209;Fort-de-France - DILLON 1 ET 2;Privé;Non déterminé;En service;60.0;4.0;0.0;60.0;0.0;Boue activée moyenne charge;Epaississement statique gravitaire;Non;Non;Oui;Non;Oui;Non;False;Non transmission de l'autosurveillance (STEU);0.0;S080001997213;Systeme de collecte - LAMENTIN-Multigros;FRJC015;Nord Baie de Fort-de-France;REJET PRINCIPAL DE LAMENTIN-Multigros;Eau douce de surface;14.6185121;-61.0336311;2024-12-19;2024-12-06;export-as-telechargement(2).csv
