code_steu;nom_steu;nature_steu;code_sandre_nature_steu;commune_implantation;code_insee_commune;maitre_ouvrage;exploitant;epci_normalise;latitude_wgs84;longitude_wgs84;date_mise_service;date_mise_hors_service;source_file;first_seen_year;last_seen_year
080000497212;GROS-MORNE - DENEL;Urbain;1;Gros-Morne;97212;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.7205092;-60.9903069;2010-03-26;;export-as-telechargement(2).csv;2022;2022
080000297212;GROS-MORNE - COLLEGE LA FRAICHEUR;Privé;4;Gros-Morne;97212;;;Non déterminé;14.7132086;-60.9956287;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080000297201;AJOUPA-BOUILLON - DESCHAMPS CITÉ GRENADE;Urbain;1;L'Ajoupa-Bouillon;97201;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.8181331;-61.108942;2006-12-31;;export-as-telechargement(2).csv;2022;2022
080000497230;TRINITE - BELLEVUE;Urbain;1;La Trinité;97230;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.7379605;-61.0103614;2000-03-08;;export-as-telechargement(2).csv;2022;2022
080000297230;TRINITE - TARTANE;Urbain;1;La Trinité;97230;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7599837;-60.9252011;2006-01-01;;export-as-telechargement(2).csv;2022;2022
080000297210;LE FRANCOIS - BONNY CHOPOTTE;Urbain;1;Le François;97210;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.6382146;-60.9205502;2012-12-31;;export-as-telechargement(2).csv;2022;2022
080000397210;LE FRANCOIS - CHOPOTTE;Privé;4;Le François;97210;Communauté d'Agglomération de l'Espace Sud de Martinique;ODYSSI;CAESM;14.6304491;-60.9222011;2012-12-31;;export-as-telechargement(2).csv;2022;2022
080000697213;LE LAMENTIN - CLUB NAUTIQUE;Urbain;1;Le Lamentin;97213;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6057197;-61.0201867;2022-01-01;;export-as-telechargement(2).csv;2022;2022
080000197213;LE LAMENTIN - GAIGNERON;Urbain;1;Le Lamentin;97213;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6090726;-60.9874909;2002-01-01;;export-as-telechargement(2).csv;2022;2022
080001297213;LE LAMENTIN - LYCEE CROIX RIVAIL;Privé;4;Le Lamentin;97213;REGION DE MARTINIQUE;SOCIETE MARTINIQUAISE DES EAUX;Non déterminé;14.609099;-60.9624348;1990-01-01;;export-as-telechargement(2).csv;2022;2022
089721300001HS;LE LAMENTIN - ZI JAMBETTE 2;Privé;4;Le Lamentin;97213;;;Non déterminé;14.6141766;-61.0360362;2022-01-01;;export-as-telechargement(2).csv;2022;2022
080000397213;LE LAMENTIN - PELLETIER DESIRADE;Urbain;1;Le Lamentin;97213;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6680579;-60.987881;2006-01-01;;export-as-telechargement(2).csv;2022;2022
080002297213;LE LAMENTIN - RESIDENCE SOROCA;Privé;4;Le Lamentin;97213;SIMAR;CAIALI;Non déterminé;14.6328941;-60.9637003;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080000797213;LE LAMENTIN - ROCHES CARREES;Urbain;1;Le Lamentin;97213;ODYSSI;ODYSSI;CACEM;14.630831;-60.9644154;2017-01-01;;export-as-telechargement(2).csv;2022;2022
080000597213;LE LAMENTIN - SARRAULT;Urbain;1;Le Lamentin;97213;ODYSSI;ODYSSI;CACEM;14.6432248;-60.9670297;2018-01-01;;export-as-telechargement(2).csv;2022;2022
