annee_reference;code_ouvrage;nom_ouvrage;departement;code_insee;commune;volume_m3;code_usage_bnpe;libelle_usage_bnpe;code_usage_declare;usage_declare;type_eau;longitude;latitude;precision_localisation;mode_obtention_volume;statut_volume;qualification_volume;code_bss;code_zone_hydro;nom_zone_hydro;code_entite_hydro_cours_eau;code_entite_hydro_plan_eau;code_bdlisa;libelle_bdlisa;date_debut_exploitation;date_fin_exploitation;source_file
2023;OPR0000493763;Rivière Blanche - SIBAN GT - 41;972;97224;SAINT-JOSEPH;54779;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929052525939;0.00013235337759957534;1;EST;Contrôlé Niveau 1;Correcte;;2514;;25141080;;;;;;prelevements.csv
2023;OPR0000276735;Verrier;972;97233;MORNE-VERT;52746;AEP;EAU POTABLE;5;AEP;CONT;-61.13602598165926;14.704653003726108;5;MES;Contrôlé Niveau 1;Correcte;;2316;;23160750;;;;;;prelevements.csv
2023;OPR0000276719;Grand'Rivière;972;97211;GRAND'RIVIERE;51081;AEP;EAU POTABLE;5;AEP;CONT;-61.17984147677704;14.846996984898727;5;MES;Contrôlé Niveau 1;Correcte;;2101;;21010860;;;;;;prelevements.csv
2023;OPR0000276764;Rivière claire - Hangar Habitation ASSIER;972;97214;LORRAIN;50048;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929106215398;0.00013378862067131892;1;MES;Contrôlé Niveau 1;Correcte;;2208;;22080120;;;;;;prelevements.csv
2023;OPR0000276814;Lafort SOMES;972;97218;MORNE-ROUGE;49221;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);8;EMBOUTEILLAGE;SOUT;-67.48929144601344;0.00013308409063005628;1;EST;Non qualifié;Correcte;;;;;;972AF07;Hyaloclastites du Morne Jacob;;;prelevements.csv
2023;OPR0000276777;Rivière Lézarde - SARL SOUDON Hangar;972;97213;LAMENTIN;44531;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.4892902897275;0.00013213727356108557;1;MES;Non qualifié;Correcte;;2521;;25411480;;;;;;prelevements.csv
2023;OPR0000276769;Rivière Lézarde SARl PETIT MORNE  P2;972;97213;LAMENTIN;41558;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929020767206;0.0001318465793127955;1;MES;Contrôlé Niveau 1;Correcte;;2541;;25411480;;;;;;prelevements.csv
2023;OPR0000639978;Rivière Basse Pointe (prise haute  pompage);972;97203;BASSE-POINTE;40000;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929149229305;0.00013391769678162366;1;EST;Contrôlé Niveau 1;Correcte;;2105;;21050440;;;;;;prelevements.csv
2023;OPR0000639979;Rivière Roche (prise basse);972;97203;BASSE-POINTE;40000;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929160481798;0.00013404811683649263;1;EST;Contrôlé Niveau 1;Correcte;;2104;;21040210;;;;;;prelevements.csv
2023;OPR0000639981;Rivière Basse Pointe (canal Gradis);972;97203;BASSE-POINTE;40000;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929144077887;0.000134018533336521;1;EST;Contrôlé Niveau 1;Correcte;;2105;;21050440;;;;;;prelevements.csv
